ZPPG id,Longitude,Latitude,Shortitude,Deltitude,Strange Smell?,Air Tastes Like,Feng Shui of Surrounding Area,Weird Sounds,Local Value of Pi,Murphy's Constant,ZPPG Performance
21,132.73,-39.434,37.218,33.798,Somewhat,Mint,Adequate,['Eerie Silence'],3.148,4.26,52.54%
22,56.514,86.434,-47.837,-46.139,Somewhat,Mint,Adequate,['Otherworldly Skittering'],3.1395,4.71,42.72%
23,-129.274,15.87,28.768,-21.207,Somewhat,Apples,Adequate,"['Unnatural Buzzing', 'Impossible Humming']",3.1268,3.78,3.15%
24,-55.2,-43.408,61.276,-31.989,Somewhat,Apples,Adequate,['Unnatural Buzzing'],3.1724,4.09,22.06%
25,102.776,-54.97,40.251,39.7,No,Apples,Adequate,['Unnatural Buzzing'],3.145,4.66,33.09%
26,0.869,-36.288,11.042,-41.2,No,Apples,Adequate,"['Unearthly Squelching', 'Otherworldly Skittering']",3.1497,3.05,33.40%
27,-63.18,-50.793,-65.621,-27.821,Somewhat,Burning,Disharmonious,['Unnatural Buzzing'],3.1067,3.95,20.07%
28,89.272,48.365,12.292,18.073,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1342,4.69,29.17%
29,48.93,55.332,-62.088,57.399,No,Mint,Adequate,['Otherworldly Skittering'],3.1618,3.61,77.84%
30,-132.473,-48.012,25.195,-32.941,Somewhat,Apples,Adequate,"['Unnatural Buzzing', 'Impossible Humming']",3.1338,4.37,4.73%
31,-74.408,38.923,-22.033,61.167,Somewhat,Mint,Adequate,['Otherworldly Skittering'],3.144,3.19,55.33%
32,-106.69,-82.957,31.557,52.949,Somewhat,Nothing In Particular,Exceptional,['Unearthly Squelching'],3.1405,4.57,10.30%
33,-136.501,16.335,-86.373,-36.169,Somewhat,Apples,Adequate,['Eerie Silence'],3.107,2.67,15.76%
34,129.403,15.814,-65.899,48.978,Somewhat,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.1635,1.86,15.97%
35,-123.455,-27.545,-42.477,-58.757,Somewhat,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.1569,3.21,13.13%
36,-102.343,-44.9,15.976,18.939,No,Mint,Disharmonious,['Otherworldly Skittering'],3.1381,5.4,23.55%
37,-111.166,-40.788,-43.37,-41.418,No,Mint,Disharmonious,['Unnatural Buzzing'],3.1479,4.84,29.97%
38,-109.37,11.593,14.632,51.957,No,Mint,Disharmonious,['Otherworldly Skittering'],3.139,4.51,25.00%
39,-31.884,-67.8,-33.445,-50.66,No,Mint,Adequate,"['Unearthly Squelching', 'Unnatural Buzzing']",3.1036,2.57,18.90%
40,20.797,52.802,45.764,32.178,Somewhat,Mint,Adequate,"['Otherworldly Skittering', 'Impossible Humming']",3.1239,3.15,11.60%
41,62.16,-25.484,-36.626,-50.666,Somewhat,Apples,Adequate,['Unnatural Buzzing'],3.1351,5.87,4.60%
42,-150.668,62.472,41.814,40.451,Somewhat,Nothing In Particular,Adequate,"['Unearthly Squelching', 'Unnatural Buzzing', 'Impossible Humming']",3.173,2.17,2.24%
43,-77.218,35.426,-26.803,-36.769,Somewhat,Mint,Adequate,"['Unnatural Buzzing', 'Impossible Humming']",3.1401,3.68,5.50%
44,87.092,36.707,-60.285,-60.605,No,Nothing In Particular,Adequate,['Otherworldly Skittering'],3.1371,3.77,37.86%
45,111.51,-34.828,44.279,-21.103,No,Burning,Adequate,['Otherworldly Skittering'],3.1514,5.82,13.87%
46,-95.872,43.345,31.04,31.693,Somewhat,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.1425,4.86,13.28%
47,73.521,64.617,32.28,-20.506,Somewhat,Apples,Adequate,['Unearthly Squelching'],3.1475,3.95,22.73%
48,-70.235,44.849,25.662,-45.007,No,Apples,Adequate,"['Unearthly Squelching', 'Unnatural Buzzing', 'Impossible Humming']",3.1422,4.46,3.50%
49,-23.323,44.758,-30.023,-43.447,Somewhat,Nothing In Particular,Adequate,['Eerie Silence'],3.1283,5.72,8.00%
50,43.864,29.363,64.516,19.337,Somewhat,Apples,Adequate,['Eerie Silence'],3.1525,3.14,31.62%
51,41.377,-69.993,-21.473,72.483,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1464,2.46,54.06%
52,-68.125,-15.054,-7.076,12.169,Somewhat,Mint,Disharmonious,['Otherworldly Skittering'],3.1294,3.88,21.64%
53,67,-53.726,-43.268,-53.6,Somewhat,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.1439,4.08,22.57%
54,162.83,-44.482,-46.676,32.46,No,Copper,Adequate,"['Unearthly Squelching', 'Unnatural Buzzing']",3.1579,4.91,16.02%
55,-112.444,-35.039,49.216,35.999,No,Nothing In Particular,Disharmonious,['Eerie Silence'],3.1306,3.89,14.47%
56,-79.041,-50.449,4.666,-27.095,No,Apples,Adequate,['Unearthly Squelching'],3.1532,3.37,27.57%
57,109.485,52.325,44.534,-28.421,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1405,3.57,42.06%
58,142.185,21.205,9.667,40.459,Somewhat,Mint,Adequate,['Eerie Silence'],3.1056,2.34,24.74%
59,-40.815,-23.26,27.542,-33.359,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1233,3.4,20.24%
60,-111.322,-61.294,69.472,47.136,Somewhat,Mint,Disharmonious,"['Unnatural Buzzing', 'Impossible Humming']",3.1112,3.21,5.00%
61,-163.183,20.378,-20.394,-10.6,EXTREMELY,Apples,Disharmonious,['Otherworldly Skittering'],3.139,4.68,16.35%
62,-124.129,15.084,70.247,30.405,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1205,3.93,14.92%
63,15.639,-20.574,82.241,-61.95,Somewhat,Mint,Adequate,['Unnatural Buzzing'],3.1182,3.67,20.23%
64,138.938,-54.673,-30.21,22.018,EXTREMELY,Burning,Adequate,['Eerie Silence'],3.1498,2.94,88.79%
65,-16.69,-55.576,21.682,10.642,Somewhat,Apples,Disharmonious,"['Unearthly Squelching', 'Unnatural Buzzing']",3.1496,4.74,10.34%
66,-8.448,-18.154,-22.374,72.367,No,Mint,Adequate,['Otherworldly Skittering'],3.1373,1.88,53.20%
67,17.381,58.155,23.037,30.478,Somewhat,Apples,Adequate,['Eerie Silence'],3.1394,5.8,12.02%
68,-28.531,44.477,43.245,56.955,Somewhat,Burning,Disharmonious,"['Unearthly Squelching', 'Impossible Humming']",3.1364,3.89,5.16%
69,-43.245,-72.667,-34.087,26.796,Somewhat,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.1567,2.62,25.46%
70,-37.858,-30.216,13.41,-19.63,Somewhat,Mint,Adequate,['Unearthly Squelching'],3.1153,4.82,8.50%
71,135.95,-68.578,-72.588,-25.734,Somewhat,Apples,Adequate,['Unnatural Buzzing'],3.1642,3.53,29.67%
72,-55.649,-31.06,30.976,-54.509,No,Nothing In Particular,Adequate,['Eerie Silence'],3.1389,4.37,18.71%
73,40.726,-56.68,-33.657,64.919,Somewhat,Nothing In Particular,Adequate,"['Unearthly Squelching', 'Otherworldly Skittering', 'Impossible Humming']",3.1259,5.4,1.39%
74,105.561,-28.216,-23.376,-15.158,Somewhat,Mint,Adequate,['Eerie Silence'],3.1482,5.96,7.70%
75,4.157,-8.859,21.045,58.093,No,Nothing In Particular,Exceptional,['Unnatural Buzzing'],3.1476,4.46,17.36%
76,-6.946,-61.548,-44.166,29.129,No,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.1406,5.1,17.69%
77,38.972,-53.66,50.088,13.476,Somewhat,Nothing In Particular,Disharmonious,['Otherworldly Skittering'],3.1345,2.73,26.84%
78,119.938,-37.952,38.833,-52.23,No,Mint,Exceptional,"['Otherworldly Skittering', 'Impossible Humming']",3.1547,3.34,19.90%
79,-140.086,58.629,58.832,20.425,EXTREMELY,Nothing In Particular,Adequate,['Unearthly Squelching'],3.148,5.59,6.25%
80,-56.504,62.593,-51.472,-19.437,Somewhat,Mint,Disharmonious,['Eerie Silence'],3.1268,1.84,45.54%
81,92.946,52.111,-25.113,-29.464,Somewhat,Mint,Disharmonious,['Unnatural Buzzing'],3.1383,3.79,36.12%
82,170.172,-23.723,-17.567,14.811,Somewhat,Copper,Adequate,['Eerie Silence'],3.1372,5.85,7.10%
83,156.874,1.577,-28.66,-38.132,Somewhat,Apples,Disharmonious,['Unnatural Buzzing'],3.12,4.63,8.79%
84,81.155,55.728,-21.992,72.266,No,Mint,Adequate,"['Unearthly Squelching', 'Unnatural Buzzing']",3.1384,3.28,31.72%
85,124.599,66.065,12.918,-12.706,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1158,2.2,35.13%
86,-131.624,-36.62,11.072,49.563,No,Mint,Adequate,['Otherworldly Skittering'],3.1098,5.47,17.65%
87,-10.872,-39.728,-59.66,-43.734,No,Nothing In Particular,Adequate,['Eerie Silence'],3.1584,5.75,12.10%
88,-93.219,38.605,-52.328,-44.654,EXTREMELY,Copper,Adequate,['Unnatural Buzzing'],3.1081,2.06,32.60%
89,-122.272,-15.094,-28.549,37.662,Somewhat,Apples,Adequate,['Eerie Silence'],3.1451,4.28,19.87%
90,48.075,31.61,32.592,-51.391,Somewhat,Burning,Disharmonious,"['Unearthly Squelching', 'Unnatural Buzzing']",3.1371,5.17,6.72%
91,52.462,-5.057,37.795,-56.873,Somewhat,Mint,Adequate,"['Unnatural Buzzing', 'Impossible Humming']",3.1141,4.68,3.49%
92,74.791,-53.529,27.167,42.221,Somewhat,Nothing In Particular,Adequate,"['Otherworldly Skittering', 'Impossible Humming']",3.1461,3.86,7.31%
93,13.393,-64.673,24.566,-41.54,Somewhat,Apples,Disharmonious,"['Unnatural Buzzing', 'Impossible Humming']",3.1559,1.29,8.31%
94,-79.755,19.447,-43.445,-52.325,No,Apples,Adequate,['Eerie Silence'],3.1393,4.36,24.93%
95,38.576,12.016,24.044,-60.545,Somewhat,Apples,Adequate,['Unnatural Buzzing'],3.1561,3.25,23.38%
96,-174.977,14.453,-30.628,-46.2,No,Nothing In Particular,Adequate,"['Otherworldly Skittering', 'Impossible Humming']",3.1438,2.88,5.67%
97,-99.579,62.666,3.122,-42.59,Somewhat,Copper,Adequate,['Eerie Silence'],3.1275,1.88,47.48%
98,99.427,-85.584,-47.5,70.886,Somewhat,Apples,Adequate,['Eerie Silence'],3.1353,3.19,44.51%
99,172.594,2.686,-48.174,-28.764,No,Apples,Disharmonious,['Unnatural Buzzing'],3.1354,5.88,4.34%
100,125.789,27.792,50.365,-22.653,Somewhat,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.1237,2.6,12.79%
101,110.857,43.393,64.351,20.334,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1358,5.62,13.49%
102,127.478,44.798,-57.813,22.483,Somewhat,Mint,Adequate,"['Unearthly Squelching', 'Unnatural Buzzing']",3.1739,3.17,19.27%
103,29.311,56.51,-36.273,21.909,Somewhat,Burning,Disharmonious,['Unnatural Buzzing'],3.126,5.13,19.34%
104,141.771,77.332,-24.931,-28.74,Somewhat,Mint,Adequate,['Otherworldly Skittering'],3.111,5.13,20.38%
105,-19.348,39.945,-32.504,76.228,Somewhat,Mint,Adequate,['Unnatural Buzzing'],3.134,5.61,14.64%
106,-57.824,47.895,-38.695,-11.836,Somewhat,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.156,2.16,25.66%
107,-119.732,-58.696,-13.699,-40.819,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1152,4.76,17.25%
108,158.237,55.263,-14.52,-32.025,No,Apples,Disharmonious,['Eerie Silence'],3.1494,3,53.32%
109,29.547,22.879,23.68,-32.801,Somewhat,Mint,Adequate,['Otherworldly Skittering'],3.1455,4.7,28.24%
110,146.136,67.769,30.16,-37.345,Somewhat,Mint,Adequate,['Otherworldly Skittering'],3.1381,5.86,12.47%
111,142.493,64.717,-15.25,-34.54,EXTREMELY,Mint,Adequate,['Impossible Humming'],3.1646,4.73,10.86%
112,-113.031,-8.984,28.099,-28.196,Somewhat,Mint,Disharmonious,"['Unnatural Buzzing', 'Impossible Humming']",3.103,4.65,1.91%
113,-41.377,7.016,47.221,-63.908,Somewhat,Mint,Disharmonious,['Impossible Humming'],3.1374,4.39,5.16%
114,171.998,19.773,-25.096,16.726,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.12,4.32,14.68%
115,8.449,23.104,30.51,23.418,No,Mint,Disharmonious,['Otherworldly Skittering'],3.1182,1.66,36.72%
116,12.853,-63.987,-40.547,-35.37,Somewhat,Apples,Adequate,"['Unearthly Squelching', 'Unnatural Buzzing']",3.1417,3.22,18.08%
117,-155.479,-49.878,-45.071,-42.429,Somewhat,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.1471,2.87,23.34%
118,-47.523,23.765,35.194,-7.502,No,Mint,Adequate,['Unnatural Buzzing'],3.15,4.62,27.68%
119,81.097,45.504,-13.27,36.178,Somewhat,Mint,Adequate,['Eerie Silence'],3.1638,2.21,69.41%
120,172.187,34.095,-36.85,-51.754,Somewhat,Mint,Adequate,['Unnatural Buzzing'],3.1339,3.6,22.64%
121,-92.313,-19.08,34.964,-15.587,Somewhat,Burning,Adequate,['Impossible Humming'],3.1291,2.56,7.53%
122,-33.583,25.741,54.761,32.3,Somewhat,Nothing In Particular,Disharmonious,['Unnatural Buzzing'],3.1644,4.2,9.14%
123,149.285,-15.673,-6.086,-31.745,Somewhat,Nothing In Particular,Adequate,['Otherworldly Skittering'],3.1697,4.74,10.85%
124,127.625,-33.367,9.933,15.007,No,Apples,Disharmonious,['Otherworldly Skittering'],3.1216,5.35,10.43%
125,11.238,17.712,49.275,14.397,No,Apples,Adequate,['Otherworldly Skittering'],3.1144,5.06,14.27%
126,-108.405,-33.055,-35.587,-28.532,No,Mint,Exceptional,['Otherworldly Skittering'],3.124,2.42,38.69%
127,-65.251,52.867,-39.641,-52.123,No,Apples,Adequate,['Unnatural Buzzing'],3.1279,1.13,40.42%
128,54.613,36.626,-26.556,-58.374,Somewhat,Burning,Adequate,['Unnatural Buzzing'],3.1362,3.61,46.52%
129,98.002,26.73,-29.666,-31.659,No,Nothing In Particular,Adequate,"['Unnatural Buzzing', 'Impossible Humming']",3.1577,1.01,5.66%
130,35.464,42.203,36.192,37.877,No,Nothing In Particular,Disharmonious,['Unnatural Buzzing'],3.1594,5.48,11.39%
131,46.909,-22.494,45.444,27.281,No,Mint,Adequate,['Otherworldly Skittering'],3.1438,5.02,30.15%
132,79.434,-29.245,16.804,-31.78,Somewhat,Apples,Adequate,['Unnatural Buzzing'],3.126,5.07,10.34%
133,-138.328,46.762,44.68,-54.195,Somewhat,Mint,Adequate,['Otherworldly Skittering'],3.1145,3.61,33.56%
134,135.424,41.025,60.739,-58.776,No,Apples,Adequate,['Eerie Silence'],3.1245,3.12,46.77%
135,109.454,-63.778,-25.401,-27.246,No,Mint,Disharmonious,['Eerie Silence'],3.165,3.77,60.14%
136,36.386,23.746,17.73,18.807,No,Apples,Adequate,['Unearthly Squelching'],3.1193,4.14,12.62%
137,-55.066,-50.71,43.037,5.968,No,Apples,Exceptional,['Unnatural Buzzing'],3.1402,2.89,45.08%
138,-133.499,-46.183,-13.094,-62.859,Somewhat,Mint,Adequate,"['Unearthly Squelching', 'Otherworldly Skittering']",3.144,4.63,18.19%
139,-11.446,19.153,57.095,-49.927,Somewhat,Burning,Adequate,['Unnatural Buzzing'],3.1465,4.16,25.48%
140,74.506,20.969,-40.683,31.391,Somewhat,Mint,Disharmonious,['Unnatural Buzzing'],3.1266,5.03,12.30%
141,-48.733,61.796,-34.604,59.476,Somewhat,Mint,Adequate,"['Otherworldly Skittering', 'Impossible Humming']",3.1585,2.63,14.04%
142,64,87.065,-83.396,-24.522,No,Mint,Adequate,"['Otherworldly Skittering', 'Impossible Humming']",3.1194,1.65,17.03%
143,16.118,-37.416,15.956,-35.243,No,Mint,Disharmonious,['Otherworldly Skittering'],3.1407,4.23,56.35%
144,-174.121,-60.204,-64.153,-53.621,No,Nothing In Particular,Exceptional,['Otherworldly Skittering'],3.118,5.68,8.92%
145,-67.017,-31.046,-16.565,45.486,No,Mint,Adequate,['Unnatural Buzzing'],3.1559,2.1,39.79%
146,114.678,-55.464,-10.426,34.898,Somewhat,Mint,Adequate,['Eerie Silence'],3.1286,0.79,62.39%
147,61.844,-34.787,-53.675,-73.522,Somewhat,Apples,Adequate,['Eerie Silence'],3.1457,4.21,26.00%
148,-55.392,-30.313,22.906,-48.953,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1568,4.87,15.83%
149,120.24,-33.184,-38.984,47.745,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1291,3.75,21.51%
150,-1.04,65.77,55.83,52.291,No,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.1284,4.48,20.44%
151,-9.504,-25.624,47.873,-33.195,Somewhat,Nothing In Particular,Disharmonious,['Unearthly Squelching'],3.1635,3.29,7.95%
152,-27.378,69.548,-44.18,47.473,No,Apples,Adequate,['Impossible Humming'],3.1443,3.98,12.18%
153,-156.485,23.164,54.089,-12.135,No,Apples,Adequate,['Unnatural Buzzing'],3.1279,4.25,15.79%
154,-150.931,37.141,25.765,-62.929,Somewhat,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.1271,4.25,14.12%
155,84.668,-11.359,73.994,58.461,No,Burning,Disharmonious,['Eerie Silence'],3.1168,4.59,23.72%
156,88.921,54.204,-37.384,-58.339,Somewhat,Burning,Disharmonious,['Eerie Silence'],3.1159,5.57,14.90%
157,49.6,52.115,-8.643,35.624,Somewhat,Apples,Adequate,['Impossible Humming'],3.137,5.93,2.06%
158,75.118,50.743,56.289,17.207,Somewhat,Mint,Disharmonious,['Unnatural Buzzing'],3.1458,3.77,38.32%
159,51.458,24.522,-39.78,-32.838,Somewhat,Mint,Disharmonious,['Unnatural Buzzing'],3.1657,4.4,18.37%
160,80.971,-30.915,23.9,29.11,Somewhat,Mint,Adequate,['Unearthly Squelching'],3.1681,4.49,13.54%
161,-123.02,-34.063,14.202,62.47,Somewhat,Burning,Adequate,['Eerie Silence'],3.1363,1.58,37.05%
162,-77.437,32.099,37.47,-41.409,No,Apples,Adequate,['Otherworldly Skittering'],3.1291,2.67,29.58%
163,8.613,-34.691,33.584,32.137,Somewhat,Mint,Disharmonious,['Unnatural Buzzing'],3.16,5.08,13.81%
164,-4.053,-9.938,37.904,-23.271,Somewhat,Mint,Adequate,['Eerie Silence'],3.1116,1.7,30.06%
165,-3.731,64.709,-58.777,-34.332,No,Mint,Adequate,['Impossible Humming'],3.109,4.06,10.75%
166,28.843,55.588,-29.611,42.282,No,Mint,Adequate,['Unnatural Buzzing'],3.1262,3.85,48.55%
167,111.367,-39.22,-48.474,45.541,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1313,1.58,44.82%
168,-51.746,26.683,-61.14,-24.199,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1455,2.62,28.60%
169,73.855,68.234,-43.006,29.302,No,Apples,Disharmonious,['Impossible Humming'],3.1273,3.74,9.74%
170,117.338,-14.93,-27.248,-31.157,Somewhat,Burning,Adequate,['Unnatural Buzzing'],3.1585,4.51,22.51%
171,-60.475,-41.283,39.539,58.716,Somewhat,Mint,Adequate,"['Unearthly Squelching', 'Impossible Humming']",3.1357,1.18,7.15%
172,57.715,-17.991,-14.986,23.361,No,Mint,Adequate,['Otherworldly Skittering'],3.1234,5.9,8.88%
173,85.434,-43.811,-46.984,-52.426,Somewhat,Copper,Adequate,['Eerie Silence'],3.1098,5.1,21.50%
174,-140.62,-46.78,29.08,28.681,No,Mint,Adequate,['Eerie Silence'],3.145,4.32,56.49%
175,-177.353,40.183,41.768,66.499,Somewhat,Mint,Adequate,['Unnatural Buzzing'],3.1538,3.96,37.94%
176,61.433,-12.568,12.675,-53.259,Somewhat,Mint,Adequate,['Eerie Silence'],3.1447,4.96,25.34%
177,153.084,-64.714,37.337,33.132,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1045,4.42,18.46%
178,-145.992,11.63,58.134,-30.175,No,Apples,Adequate,['Unnatural Buzzing'],3.1336,2.66,22.43%
179,122.333,62.796,11.553,-55.775,Somewhat,Mint,Adequate,['Eerie Silence'],3.1191,4.42,35.65%
180,153.426,-33.035,-66.226,-48.153,No,Mint,Adequate,"['Unearthly Squelching', 'Otherworldly Skittering']",3.1573,0.96,26.88%
181,24.249,-28.428,19.045,-22.343,Somewhat,Mint,Disharmonious,['Unnatural Buzzing'],3.1388,3.03,25.64%
182,-19.913,32.045,41.809,48.051,Somewhat,Copper,Disharmonious,['Eerie Silence'],3.1634,3.72,25.91%
183,-132.399,-12.277,6.125,21.014,Somewhat,Apples,Adequate,['Eerie Silence'],3.1402,2.26,25.67%
184,-20.547,36.512,-47.32,40.815,Somewhat,Apples,Adequate,['Eerie Silence'],3.1418,5.83,11.06%
185,-116.258,26.513,21.292,-45.057,No,Mint,Adequate,['Otherworldly Skittering'],3.1637,0.93,44.82%
186,-151.804,28.61,35.693,-46.62,Somewhat,Nothing In Particular,Disharmonious,['Otherworldly Skittering'],3.1601,2.63,14.71%
187,-2.304,75.152,32.784,37.838,Somewhat,Mint,Adequate,['Otherworldly Skittering'],3.1331,5.92,10.92%
188,16.759,-52.462,-76.698,-44.974,Somewhat,Mint,Disharmonious,"['Otherworldly Skittering', 'Impossible Humming']",3.1628,2.75,12.43%
189,25.299,48.328,-55.952,35.582,No,Apples,Disharmonious,['Eerie Silence'],3.1397,4.08,44.88%
190,-43.095,-28.929,-36.532,32.703,Somewhat,Nothing In Particular,Adequate,['Unnatural Buzzing'],3.1526,1.27,17.50%
191,-63.524,25.63,-55.588,-49.394,No,Nothing In Particular,Adequate,"['Unearthly Squelching', 'Otherworldly Skittering']",3.1312,5.3,4.87%
192,-163.438,31.652,-53.142,38.154,Somewhat,Apples,Disharmonious,"['Unnatural Buzzing', 'Impossible Humming']",3.1792,3.71,2.55%
193,-175.248,22.499,69.247,-26.578,Somewhat,Apples,Adequate,['Unnatural Buzzing'],3.1264,4.98,8.78%
194,-50.698,-54.574,52.049,-55.049,No,Nothing In Particular,Adequate,['Eerie Silence'],3.1627,3.42,36.30%
195,75.312,36.91,15.189,-37.461,Somewhat,Mint,Adequate,"['Unearthly Squelching', 'Unnatural Buzzing']",3.1381,5.4,10.29%
196,152.032,33.48,64.742,-44.744,Somewhat,Apples,Disharmonious,['Impossible Humming'],3.1475,4.11,4.50%
197,-129.254,69.064,39.291,65.893,Somewhat,Mint,Adequate,['Unnatural Buzzing'],3.1343,3.9,32.13%
198,-31.536,44.237,56.885,10.59,Somewhat,Mint,Adequate,['Otherworldly Skittering'],3.1749,3.29,46.46%
199,-126.065,36.801,62.126,-25.45,Somewhat,Nothing In Particular,Adequate,['Otherworldly Skittering'],3.1374,4.96,14.68%
200,-86.272,22.84,-21.624,21.887,No,Mint,Adequate,['Unnatural Buzzing'],3.1234,2.12,29.75%
201,161.25,43.842,-42.863,42.514,Somewhat,Apples,Adequate,"['Unearthly Squelching', 'Unnatural Buzzing', 'Impossible Humming']",3.149,3.28,3.93%
202,23.485,-23.916,-46.99,-74.054,Somewhat,Mint,Adequate,"['Unearthly Squelching', 'Otherworldly Skittering']",3.1471,5.46,8.48%
203,60.413,-17.697,-50.622,-25.44,Somewhat,Nothing In Particular,Disharmonious,['Impossible Humming'],3.129,4.19,3.03%
204,-23.871,-29.954,-76.032,27.216,No,Mint,Adequate,"['Unnatural Buzzing', 'Impossible Humming']",3.1335,2.78,8.51%
205,-136.45,-47.181,-9.074,39.864,EXTREMELY,Mint,Adequate,['Eerie Silence'],3.1668,5.98,10.03%
206,20.605,33.947,11.898,-74.784,No,Nothing In Particular,Disharmonious,['Unnatural Buzzing'],3.1427,5.67,5.69%
207,-8.367,-46.233,61.683,-57.622,Somewhat,Mint,Adequate,['Eerie Silence'],3.1468,2.8,68.21%
208,67.346,56.176,-23.254,-8.665,Somewhat,Apples,Adequate,['Otherworldly Skittering'],3.1345,5.55,15.93%
209,-152.962,20.733,21.322,-44.713,Somewhat,Nothing In Particular,Disharmonious,"['Unnatural Buzzing', 'Impossible Humming']",3.1416,4.75,1.68%
210,-166.789,72.887,-39.511,53.383,Somewhat,Apples,Adequate,"['Otherworldly Skittering', 'Impossible Humming']",3.1441,4.96,5.42%
211,-6.617,-45.821,52.124,40.372,Somewhat,Mint,Disharmonious,['Impossible Humming'],3.1434,3.23,12.29%
212,-93.246,-37.844,-40.814,50.189,Somewhat,Mint,Adequate,['Otherworldly Skittering'],3.1693,4.87,28.55%
213,22.965,74.421,10.962,64.643,Somewhat,Burning,Adequate,['Unnatural Buzzing'],3.125,3.88,37.46%
214,-148.939,-33.758,-44.371,-55.069,No,Mint,Adequate,"['Unearthly Squelching', 'Unnatural Buzzing']",3.1285,3.36,13.67%
215,-51.236,-39.07,-55.269,-44.632,No,Mint,Adequate,['Eerie Silence'],3.1496,4.83,52.93%
